pag_pk,pag_fecha_planificada,pag_importe_planificado,pag_fecha_real,pag_importe_real,pag_confirmar,mon_pk,mon_nombre
4340,"2016-09-21 00:00:00",31032,"2016-12-30 00:00:00",31032,1,1,Pesos
4341,"2016-10-14 00:00:00",108613,"2016-12-30 00:00:00",108613,1,1,Pesos
4343,"2016-12-12 00:00:00",108613,"2016-12-12 00:00:00",0,1,1,Pesos
4345,"2017-01-24 00:00:00",62064,"2017-01-24 00:00:00",0,1,1,Pesos
6432,"2017-04-03 00:00:00",141570,"2017-04-03 00:00:00",0,1,1,Pesos
4381,"2016-10-20 00:00:00",200400,"2017-08-31 00:00:00",200400,1,1,Pesos
4382,"2018-07-31 00:00:00",200400,"2018-11-09 00:00:00",200400,1,1,Pesos
4383,"2016-10-20 00:00:00",44088,"2017-08-31 00:00:00",44088,1,1,Pesos
4384,"2018-07-31 00:00:00",44088,"2018-11-09 00:00:00",44088,1,1,Pesos
4375,"2016-12-22 00:00:00",1175675,"2016-12-30 00:00:00",587670,1,1,Pesos
4376,"2016-12-22 00:00:00",335907,"2017-03-13 00:00:00",0,1,1,Pesos
4461,"2016-09-16 00:00:00",167954,"2016-12-30 00:00:00",167906,1,1,Pesos
4377,"2016-12-22 00:00:00",258648,"2017-03-13 00:00:00",0,1,1,Pesos
4378,"2016-12-22 00:00:00",73900,"2016-12-30 00:00:00",129287,1,1,Pesos
4462,"2016-09-16 00:00:00",36950,"2016-12-30 00:00:00",36939,1,1,Pesos
4392,"2016-12-20 00:00:00",100650,"2016-10-28 00:00:00",0,1,1,Pesos
4437,"2016-11-04 00:00:00",713944,"2016-12-13 00:00:00",713273,1,1,Pesos
4438,"2016-12-30 00:00:00",322080,"2016-12-30 00:00:00",760243,1,1,Pesos
4439,"2017-01-30 00:00:00",0,"2017-01-30 00:00:00",0,1,1,Pesos
4440,"2017-02-27 00:00:00",0,"2017-02-27 00:00:00",0,1,1,Pesos
4441,"2017-03-31 00:00:00",0,"2017-03-31 00:00:00",0,1,1,Pesos
4442,"2017-04-30 00:00:00",206668,"2017-04-30 00:00:00",0,1,1,Pesos
4443,"2017-05-31 00:00:00",177144,"2017-05-26 00:00:00",136884,1,1,Pesos
4444,"2017-06-30 00:00:00",0,"2017-06-30 00:00:00",0,1,1,Pesos
4445,"2017-07-31 00:00:00",177144,"2017-07-12 00:00:00",568780,1,1,Pesos
4446,"2017-08-31 00:00:00",99908,"2017-08-31 00:00:00",0,1,1,Pesos
4447,"2017-09-30 00:00:00",0,"2017-09-30 00:00:00",0,1,1,Pesos
4456,"2017-12-31 00:00:00",987112,"2017-10-18 00:00:00",504404,1,1,Pesos
